################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.8923110499685762E+00 a       315     0    21     1    15
 -1.1754473893072312E+00 a       316     0    22     1     1
 -3.7561698164511133E+00 a       317     0    22     1     2
 -1.1118275322739015E+01 a       318     0    22     1     3
 -3.4070841505264173E+00 a       319     0    22     1     4
 -8.0232601631936085E+00 a       320     0    22     1     5
  1.4970524202269818E+01 a       321     0    22     1     6
 -1.9843075744708841E+01 a       322     0    22     1     7
 -1.5190412934731595E+01 a       323     0    22     1     8
 -1.0178778501292035E+01 a       324     0    22     1     9
 -2.5752288042190639E+01 a       325     0    22     1    10
 -4.4584040233630127E+00 a       326     0    22     1    11
  5.9680823754583363E+00 a       327     0    22     1    12
  1.0825756710110459E+01 a       328     0    22     1    13
 -4.8387802308318060E+00 a       329     0    22     1    14
  1.9047090857595006E+01 a       330     0    22     1    15
  6.2612873619232330E+00 a       331     0    23     1     1
  2.4457996357310030E+00 a       332     0    23     1     2
 -1.5238742651451069E+01 a       333     0    23     1     3
  7.0106624819720995E+00 a       334     0    23     1     4
 -1.1108748186167329E+01 a       335     0    23     1     5
  8.0540429879599191E+00 a       336     0    23     1     6
  4.5713195051462350E+00 a       337     0    23     1     7
 -6.8171155267329544E+00 a       338     0    23     1     8
 -4.2685535865707491E+00 a       339     0    23     1     9
 -1.5211296643898587E+01 a       340     0    23     1    10
 -1.0266910858656882E+01 a       341     0    23     1    11
  9.1681420410873162E+00 a       342     0    23     1    12
  1.0241351029336414E+01 a       343     0    23     1    13
 -1.2328933367416434E+01 a       344     0    23     1    14
  1.8501361680351870E+01 a       345     0    23     1    15
  7.4906385270830418E+00 a       346     0    24     1     1
  7.3625293903435427E+00 a       347     0    24     1     2
 -1.4296611542822582E+01 a       348     0    24     1     3
  5.2612549816555845E+00 a       349     0    24     1     4
 -9.4478363290810421E+00 a       350     0    24     1     5
  9.9455140625956795E-01 a       351     0    24     1     6
 -2.8050119835088170E+00 a       352     0    24     1     7
 -5.0009690175288588E+00 a       353     0    24     1     8
 -8.7830457742864994E+00 a       354     0    24     1     9
 -1.0871869075622444E+01 a       355     0    24     1    10
 -7.9133038806910818E+00 a       356     0    24     1    11
  7.4264317654624943E+00 a       357     0    24     1    12
  8.2534951561760153E+00 a       358     0    24     1    13
 -1.4061418715912053E+01 a       359     0    24     1    14
  1.0803202214762258E+01 a       360     0    24     1    15
  1.0535489962630654E+01 a       361     0    25     1     1
  1.5443969667686266E+01 a       362     0    25     1     2
  1.6309284761167770E+01 a       363     0    25     1     3
  1.1811108772759001E+01 a       364     0    25     1     4
  1.2228663966098267E+01 a       365     0    25     1     5
